Controller,CMACC,CMDEC,Ego acc,SpeedDifF,SpeedDifL,OverLimit,DistError,EDF,FSF,Front acc,FAF,Front throttle,Front brake,FrOvLi,LSF,Leader acc,LAF,Leader throttle,Leader brake,Max acc,max dec,max throttle,max brake,Technique
Distance,2.75,-5.0,0.0069,0.0294,-0.0534,-0.3022,0.0141,FailureType.no_failure,FailureType.omission,-1.4711,FailureType.omission,-1,-1,-0.27280000000000004,FailureType.no_failure,0.0030,FailureType.no_failure,0.5070,0.0000,0.0030,-1.4711,0.5070,0.0000,PA
Distance,2.75,-5.0,0.0422,0.0387,-0.0534,-0.3025,0.0143,FailureType.no_failure,FailureType.omission,-0.9159,FailureType.omission,-1,-1,-0.2638,FailureType.no_failure,-0.0020,FailureType.no_failure,0.5070,0.0000,0.0000,-0.9159,0.5070,0.0000,PA
Distance,2.75,-5.0,-0.2813,0.047,-0.029,-0.3899,0.0161,FailureType.no_failure,FailureType.omission,-1.0861,FailureType.omission,-1,-1,-0.34290000000000004,FailureType.no_failure,0.0034,FailureType.no_failure,0.5068,0.0000,0.0034,-1.0861,0.5068,0.0000,PA
Distance,2.75,-5.0,-0.7374,0.0551,0.0155,-0.5499,0.0191,FailureType.no_failure,FailureType.omission,-1.7115,FailureType.omission,-1,-1,-0.4948000000000001,FailureType.no_failure,-0.0018,FailureType.no_failure,0.5066,0.0000,0.0000,-1.7115,0.5611,0.0000,PA
Distance,2.75,-5.0,-1.0644,0.0666,0.0732,-0.7576,0.0231,FailureType.no_failure,FailureType.omission,-2.5110,FailureType.omission,-1,-1,-0.6910000000000001,FailureType.no_failure,0.0032,FailureType.no_failure,0.5063,0.0000,0.0032,-2.5110,0.5613,0.0000,PA
Distance,2.75,-5.0,-1.2644,0.0981,0.1397,-0.9967,0.0277,FailureType.no_failure,FailureType.omission,-3.4711,FailureType.omission,-1,-1,-0.8986000000000001,FailureType.no_failure,-0.0017,FailureType.no_failure,0.5062,0.0000,0.0000,-3.4711,0.5614,0.0000,PA
Distance,2.75,-5.0,-1.3991,0.1508,0.2117,-1.256,0.033,FailureType.no_failure,FailureType.omission,-4.6028,FailureType.omission,-1,-1,-1.1052,FailureType.no_failure,0.0032,FailureType.no_failure,0.5062,0.0000,0.0032,-4.6028,0.5615,0.0000,PA
Distance,2.75,-5.0,-1.4894,0.218,0.2873,-1.5282,0.039,FailureType.no_failure,FailureType.omission,-5.7368,FailureType.omission,-1,-1,-1.3102,FailureType.no_failure,0.0007,FailureType.no_failure,0.5062,0.0000,0.0007,-5.7368,0.5615,0.0000,PA
Distance,2.75,-5.0,-1.537,0.2948,0.3651,-1.8083,0.0457,FailureType.no_failure,FailureType.omission,-6.6925,FailureType.omission,-1,-1,-1.5135,FailureType.no_failure,-0.0017,FailureType.no_failure,0.5064,0.0000,0.0000,-6.6925,0.5615,0.0000,PA
Distance,2.75,-5.0,-1.331,2.9861,2.9473,-11.1045,0.6859,FailureType.no_failure,FailureType.omission,-6.2160,FailureType.omission,-1,-1,-8.1184,FailureType.no_failure,0.0008,FailureType.no_failure,0.5065,0.0000,0.0008,-6.2160,0.5612,0.0000,PA
Distance,2.75,-5.0,0.3292,-0.0553,-0.0911,-0.1664,1.3955,FailureType.no_failure,FailureType.omission,0.9139,FailureType.omission,-1,-1,-0.2217,FailureType.no_failure,0.0009,FailureType.no_failure,0.5065,0.0000,0.9139,0.0000,0.5639,0.0000,PA
Distance,2.75,-5.0,0.3267,-0.0559,-0.1069,-0.1094,1.3929,FailureType.no_failure,FailureType.omission,0.8756,FailureType.omission,-1,-1,-0.1653,FailureType.no_failure,0.0008,FailureType.no_failure,0.5065,0.0000,0.8756,0.0000,0.5639,0.0000,PA
Distance,2.75,-5.0,0.3042,-0.0553,-0.1216,-0.0563,1.3904,FailureType.no_failure,FailureType.omission,0.8125,FailureType.omission,-1,-1,-0.1116,FailureType.no_failure,0.0010,FailureType.no_failure,0.5065,0.0000,0.8125,0.0000,0.5638,0.0000,PA
Distance,2.75,-5.0,0.2867,-0.0541,-0.1358,-0.0054,1.3881,FailureType.no_failure,FailureType.omission,0.7360,FailureType.omission,-1,-1,-0.059500000000000004,FailureType.no_failure,0.0009,FailureType.no_failure,0.5065,0.0000,0.7360,0.0000,0.5065,0.0000,PA
Distance,2.75,-5.0,0.2816,-0.0586,-0.1496,0.0444,1.3858,FailureType.no_failure,FailureType.omission,0.7192,FailureType.omission,-1,-1,-0.014199999999999997,FailureType.no_failure,0.0009,FailureType.no_failure,0.5065,0.0000,0.7192,0.0000,0.5065,0.0000,PA
Distance,2.75,-5.0,0.2766,-0.0882,-0.1633,0.0937,1.3834,FailureType.no_failure,FailureType.omission,1.0820,FailureType.omission,-1,-1,0.005500000000000005,FailureType.no_failure,0.0009,FailureType.no_failure,0.5065,0.0000,1.0820,0.0000,0.5065,0.0000,PA
Distance,2.75,-5.0,0.2753,-0.1382,-0.177,0.143,1.3807,FailureType.no_failure,FailureType.omission,1.8351,FailureType.omission,-1,-1,0.004799999999999999,FailureType.no_failure,0.0008,FailureType.no_failure,0.5065,0.0000,1.8351,0.0000,0.5612,0.0000,PA
Distance,2.75,-5.0,0.2779,-0.1982,-0.1913,0.1926,1.3777,FailureType.no_failure,FailureType.omission,2.6738,FailureType.omission,-1,-1,-0.005599999999999994,FailureType.no_failure,0.0117,FailureType.no_failure,0.5084,0.0000,2.6738,0.0000,0.5614,0.0000,PA
Distance,2.75,-5.0,0.2778,-0.2469,-0.2066,0.2428,1.3744,FailureType.no_failure,FailureType.omission,3.1649,FailureType.omission,-1,-1,-0.00410000000000002,FailureType.no_failure,0.1018,FailureType.no_failure,0.5135,0.0000,3.1649,0.0000,0.5617,0.0000,PA
Distance,2.75,-5.0,0.2828,-0.2804,-0.2218,0.2936,1.3708,FailureType.no_failure,FailureType.omission,3.0834,FailureType.omission,-1,-1,0.013200000000000045,FailureType.no_failure,0.0523,FailureType.no_failure,0.5172,0.0000,3.0834,0.0000,0.5616,0.0000,PA
Distance,2.75,-5.0,0.2866,-0.3031,-0.2397,0.3452,1.367,FailureType.no_failure,FailureType.omission,2.6535,FailureType.omission,-1,-1,0.042100000000000026,FailureType.no_failure,0.2061,FailureType.no_failure,0.5301,0.0000,2.6535,0.0000,0.5620,0.0000,PA
Distance,2.75,-5.0,0.2891,-0.3185,-0.2566,0.3974,1.3631,FailureType.no_failure,FailureType.omission,2.1348,FailureType.omission,-1,-1,0.07889999999999997,FailureType.no_failure,0.0638,FailureType.no_failure,0.5387,0.0000,2.1348,0.0000,0.5617,0.0000,PA
