Controller,CMACC,CMDEC,Ego acc,SpeedDifF,SpeedDifL,OverLimit,DistError,EDF,FSF,Front acc,FAF,Front throttle,Front brake,LSF,Leader acc,LAF,Leader throttle,Leader brake,Max acc,max dec,max throttle,max brake,Technique
Distance,2.75,-5,-0.0695,0.0719,0.0719,-0.7529,0.0155,FailureType.no_failure,FailureType.no_failure,0.0007,FailureType.no_failure,0.5065,0.0000,FailureType.no_failure,0.0007,FailureType.no_failure,0.5065,0.0000,0.0007,0.0000,0.5065,0.0000,PA
Distance,2.75,-5,0.0482,0.0675,0.0675,-0.7373,0.0156,FailureType.no_failure,FailureType.no_failure,0.0009,FailureType.no_failure,0.5065,0.0000,FailureType.no_failure,0.0009,FailureType.no_failure,0.5065,0.0000,0.0009,0.0000,0.5065,0.0000,PA
Distance,2.75,-5,0.1334,0.0596,0.0596,-0.7088,0.0155,FailureType.no_failure,FailureType.no_failure,0.0008,FailureType.no_failure,0.5065,0.0000,FailureType.no_failure,0.0008,FailureType.no_failure,0.5065,0.0000,0.0008,0.0000,0.5065,0.0000,PA
Distance,2.75,-5,0.1883,0.0493,0.0493,-0.6716,0.0152,FailureType.no_failure,FailureType.no_failure,0.0009,FailureType.no_failure,0.5065,0.0000,FailureType.no_failure,0.0009,FailureType.no_failure,0.5065,0.0000,0.0009,0.0000,0.5065,0.0000,PA
Distance,2.75,-5,0.2286,0.0372,0.0372,-0.6282,0.0147,FailureType.no_failure,FailureType.no_failure,0.0009,FailureType.no_failure,0.5065,0.0000,FailureType.no_failure,0.0009,FailureType.no_failure,0.5065,0.0000,0.0009,0.0000,0.5065,0.0000,PA
Distance,2.75,-5,0.2575,0.024,0.024,-0.5804,0.0141,FailureType.no_failure,FailureType.no_failure,0.0009,FailureType.no_failure,0.5065,0.0000,FailureType.no_failure,0.0009,FailureType.no_failure,0.5065,0.0000,0.0009,0.0000,0.5065,0.0000,PA
Distance,2.75,-5,0.2769,0.0099,0.0099,-0.5296,0.0133,FailureType.no_failure,FailureType.no_failure,0.0007,FailureType.no_failure,0.5065,0.0000,FailureType.no_failure,0.0007,FailureType.no_failure,0.5065,0.0000,0.0007,0.0000,0.5065,0.0000,PA
Distance,2.75,-5,0.2906,-0.0048,-0.0048,-0.4767,0.0124,FailureType.no_failure,FailureType.no_failure,0.0013,FailureType.no_failure,0.5065,0.0000,FailureType.no_failure,0.0013,FailureType.no_failure,0.5065,0.0000,0.0013,0.0000,0.5065,0.0000,PA
Distance,2.75,-5,0.2989,-0.021,-0.021,-0.4226,0.0114,FailureType.no_failure,FailureType.no_failure,0.0628,FailureType.no_failure,0.5107,0.0000,FailureType.no_failure,0.0628,FailureType.no_failure,0.5107,0.0000,0.0628,0.0000,0.5107,0.0000,PA
Distance,2.75,-5,0.3045,-0.0376,-0.0376,-0.3677,0.0104,FailureType.no_failure,FailureType.no_failure,0.0855,FailureType.no_failure,0.5154,0.0000,FailureType.no_failure,0.0855,FailureType.no_failure,0.5154,0.0000,0.0855,0.0000,0.5154,0.0000,PA
Distance,2.75,-5,0.3075,-0.0555,-0.0555,-0.3124,0.0092,FailureType.no_failure,FailureType.no_failure,0.0987,FailureType.no_failure,0.5247,0.0000,FailureType.no_failure,0.0987,FailureType.no_failure,0.5247,0.0000,0.0987,0.0000,0.5247,0.0000,PA
Distance,2.75,-5,0.309,-0.0739,-0.0739,-0.2569,0.008,FailureType.no_failure,FailureType.no_failure,0.1857,FailureType.no_failure,0.5356,0.0000,FailureType.no_failure,0.1857,FailureType.no_failure,0.5356,0.0000,0.1857,0.0000,0.5356,0.0000,PA
Distance,2.75,-5,0.3101,-0.0918,-0.0918,-0.2014,0.0067,FailureType.no_failure,FailureType.no_failure,0.0335,FailureType.no_failure,0.5444,0.0000,FailureType.no_failure,0.0335,FailureType.no_failure,0.5444,0.0000,0.0335,0.0000,0.5444,0.0000,PA
Distance,2.75,-5,0.3097,-0.1099,-0.1099,-0.1459,0.0053,FailureType.no_failure,FailureType.no_failure,0.2481,FailureType.no_failure,0.5541,0.0000,FailureType.no_failure,0.2481,FailureType.no_failure,0.5541,0.0000,0.2481,0.0000,0.5541,0.0000,PA
Distance,2.75,-5,0.3089,-0.1256,-0.1256,-0.0906,0.0038,FailureType.no_failure,FailureType.no_failure,-0.0019,FailureType.no_failure,0.5554,0.0000,FailureType.no_failure,-0.0019,FailureType.no_failure,0.5554,0.0000,0.0000,-0.0019,0.5554,0.0000,PA
Distance,2.75,-5,0.3084,-0.1423,-0.1423,-0.0355,0.0023,FailureType.no_failure,FailureType.no_failure,0.2897,FailureType.no_failure,0.5610,0.0000,FailureType.no_failure,0.2897,FailureType.no_failure,0.5610,0.0000,0.2897,0.0000,0.5610,0.0000,PA
Distance,2.75,-5,0.3066,-0.1575,-0.1575,0.0193,0.0006,FailureType.no_failure,FailureType.no_failure,0.1345,FailureType.no_failure,0.5609,0.0000,FailureType.no_failure,0.1345,FailureType.no_failure,0.5609,0.0000,0.1345,0.0000,0.5609,0.0000,PA
Distance,2.75,-5,0.3053,-0.1734,-0.1734,0.0738,-0.0012,FailureType.no_failure,FailureType.no_failure,0.2690,FailureType.no_failure,0.5636,0.0000,FailureType.no_failure,0.2690,FailureType.no_failure,0.5636,0.0000,0.2690,0.0000,0.5636,0.0000,PA
Distance,2.75,-5,0.3038,-0.1891,-0.1891,0.1281,-0.003,FailureType.no_failure,FailureType.no_failure,0.3105,FailureType.no_failure,0.5661,0.0000,FailureType.no_failure,0.3105,FailureType.no_failure,0.5661,0.0000,0.3105,0.0000,0.5661,0.0000,PA
Distance,2.75,-5,0.3021,-0.2053,-0.2053,0.1821,-0.005,FailureType.no_failure,FailureType.no_failure,0.2268,FailureType.no_failure,0.5706,0.0000,FailureType.no_failure,0.2268,FailureType.no_failure,0.5706,0.0000,0.2268,0.0000,0.5706,0.0000,PA
Distance,2.75,-5,0.3006,-0.2222,-0.2222,0.2357,-0.007,FailureType.no_failure,FailureType.no_failure,0.4356,FailureType.no_failure,0.5779,0.0000,FailureType.no_failure,0.4356,FailureType.no_failure,0.5779,0.0000,0.4356,0.0000,0.5779,0.0000,PA
Distance,2.75,-5,0.2989,-0.2383,-0.2383,0.2891,-0.0092,FailureType.no_failure,FailureType.no_failure,0.2224,FailureType.no_failure,0.5825,0.0000,FailureType.no_failure,0.2224,FailureType.no_failure,0.5825,0.0000,0.2224,0.0000,0.5825,0.0000,PA
Distance,2.75,-5,0.255,-0.2497,-0.2497,0.3205,-0.011,FailureType.no_failure,FailureType.no_failure,0.5217,FailureType.no_failure,0.5924,0.0000,FailureType.no_failure,0.5217,FailureType.no_failure,0.5924,0.0000,0.5217,0.0000,0.5924,0.0000,PA
Distance,2.75,-5,-0.042,-0.237,-0.237,0.2705,-0.0115,FailureType.no_failure,FailureType.no_failure,0.2864,FailureType.no_failure,0.5966,0.0000,FailureType.no_failure,0.2864,FailureType.no_failure,0.5966,0.0000,0.2864,0.0000,0.5966,0.0000,PA
Distance,2.75,-5,-0.2477,-0.2183,-0.2183,0.1946,-0.0115,FailureType.no_failure,FailureType.no_failure,0.5401,FailureType.no_failure,0.6052,0.0000,FailureType.no_failure,0.5401,FailureType.no_failure,0.6052,0.0000,0.5401,0.0000,0.6052,0.0000,PA
Distance,2.75,-5,-0.487,-0.1831,-0.1831,0.0639,-0.0105,FailureType.no_failure,FailureType.no_failure,0.4374,FailureType.no_failure,0.6094,0.0000,FailureType.no_failure,0.4374,FailureType.no_failure,0.6094,0.0000,0.4374,0.0000,0.6094,0.0000,PA
Distance,2.75,-5,-0.4358,-0.1539,-0.1539,-0.0463,-0.0097,FailureType.no_failure,FailureType.no_failure,0.5114,FailureType.no_failure,0.6149,0.0000,FailureType.no_failure,0.5114,FailureType.no_failure,0.6149,0.0000,0.5114,0.0000,0.6149,0.0000,PA
Distance,2.75,-5,-0.3772,-0.1361,-0.1361,-0.1139,-0.0094,FailureType.no_failure,FailureType.no_failure,0.6192,FailureType.no_failure,0.6185,0.0000,FailureType.no_failure,0.6192,FailureType.no_failure,0.6185,0.0000,0.6192,0.0000,0.6185,0.0000,PA
Distance,2.75,-5,0.0147,-0.1245,-0.1245,-0.1573,-0.0095,FailureType.no_failure,FailureType.no_failure,0.4987,FailureType.no_failure,0.6200,0.0000,FailureType.no_failure,0.4987,FailureType.no_failure,0.6200,0.0000,0.4987,0.0000,0.6200,0.0000,PA
Distance,2.75,-5,-0.1336,-0.1202,-0.1202,-0.1775,-0.0099,FailureType.no_failure,FailureType.no_failure,0.7537,FailureType.no_failure,0.6249,0.0000,FailureType.no_failure,0.7537,FailureType.no_failure,0.6249,0.0000,0.7537,0.0000,0.6249,0.0000,PA
Distance,2.75,-5,0.2081,-0.1162,-0.1162,-0.1938,-0.0103,FailureType.no_failure,FailureType.no_failure,0.5139,FailureType.no_failure,0.6268,0.0000,FailureType.no_failure,0.5139,FailureType.no_failure,0.6268,0.0000,0.5139,0.0000,0.6268,0.0000,PA
Distance,2.75,-5,0.0913,-0.1164,-0.1164,-0.2,-0.0109,FailureType.no_failure,FailureType.no_failure,0.8093,FailureType.no_failure,0.6341,0.0000,FailureType.no_failure,0.8093,FailureType.no_failure,0.6341,0.0000,0.8093,0.0000,0.6341,0.0000,PA
Distance,2.75,-5,0.2415,-0.1155,-0.1155,-0.2069,-0.0115,FailureType.no_failure,FailureType.no_failure,0.6028,FailureType.no_failure,0.6378,0.0000,FailureType.no_failure,0.6028,FailureType.no_failure,0.6378,0.0000,0.6028,0.0000,0.6378,0.0000,PA
Distance,2.75,-5,0.2892,-0.1161,-0.1161,-0.2121,-0.0121,FailureType.no_failure,FailureType.no_failure,0.7905,FailureType.no_failure,0.6451,0.0000,FailureType.no_failure,0.7905,FailureType.no_failure,0.6451,0.0000,0.7905,0.0000,0.6451,0.0000,PA
Distance,2.75,-5,0.2145,-0.1158,-0.1158,-0.2193,-0.0127,FailureType.no_failure,FailureType.no_failure,0.7543,FailureType.no_failure,0.6515,0.0000,FailureType.no_failure,0.7543,FailureType.no_failure,0.6515,0.0000,0.7543,0.0000,0.6515,0.0000,PA
Distance,2.75,-5,0.4147,-0.1146,-0.1146,-0.2298,-0.0133,FailureType.no_failure,FailureType.no_failure,0.7490,FailureType.no_failure,0.6577,0.0000,FailureType.no_failure,0.7490,FailureType.no_failure,0.6577,0.0000,0.7490,0.0000,0.6577,0.0000,PA
Distance,2.75,-5,0.1995,-0.1133,-0.1133,-0.2399,-0.0138,FailureType.no_failure,FailureType.no_failure,0.9196,FailureType.no_failure,0.6635,0.0000,FailureType.no_failure,0.9196,FailureType.no_failure,0.6635,0.0000,0.9196,0.0000,0.6635,0.0000,PA
Distance,2.75,-5,0.48,-0.1091,-0.1091,-0.2587,-0.0142,FailureType.no_failure,FailureType.no_failure,0.7442,FailureType.no_failure,0.6671,0.0000,FailureType.no_failure,0.7442,FailureType.no_failure,0.6671,0.0000,0.7442,0.0000,0.6671,0.0000,PA
