Controller,CMACC,CMDEC,Ego acc,SpeedDifF,SpeedDifL,OverLimit,DistError,EDF,FSF,Front acc,FAF,Front throttle,Front brake,FrOvLi,LSF,Leader acc,LAF,Leader throttle,Leader brake,Max acc,max dec,max throttle,max brake,Technique
Distance,2.75,-5.0,0.2993,0.0133,-0.028,-0.4032,0.0125,FailureType.no_failure,FailureType.no_failure,0.3070,FailureType.no_failure,0.5642,0.0,-0.3899,FailureType.no_failure,0.0394,FailureType.no_failure,0.5167,0.0000,0.3070,0.0000,0.5642,0.0000,NO
Distance,2.75,-5.0,0.2848,0.0139,-0.0403,-0.3583,0.0118,FailureType.no_failure,FailureType.no_failure,0.2857,FailureType.no_failure,0.5641,0.0,-0.3444,FailureType.no_failure,0.0422,FailureType.no_failure,0.5159,0.0000,0.2857,0.0000,0.5641,0.0000,NO
Distance,2.75,-5.0,0.2633,0.0157,-0.0516,-0.3178,0.0112,FailureType.no_failure,FailureType.no_failure,0.3077,FailureType.no_failure,0.5641,0.0,-0.30210000000000004,FailureType.no_failure,0.0368,FailureType.no_failure,0.5162,0.0000,0.3077,0.0000,0.5641,0.0000,NO
Distance,2.75,-5.0,0.2761,0.0177,-0.0625,-0.2783,0.0106,FailureType.no_failure,FailureType.no_failure,0.2950,FailureType.no_failure,0.5640,0.0,-0.2606,FailureType.no_failure,0.0342,FailureType.no_failure,0.5160,0.0000,0.2950,0.0000,0.5640,0.0000,NO
Distance,2.75,-5.0,0.2495,0.0195,-0.0732,-0.2392,0.0101,FailureType.no_failure,FailureType.no_failure,0.2937,FailureType.no_failure,0.5640,0.0,-0.2197,FailureType.no_failure,0.0450,FailureType.no_failure,0.5153,0.0000,0.2937,0.0000,0.5640,0.0000,NO
Distance,2.75,-5.0,0.2563,0.0213,-0.0838,-0.2001,0.0096,FailureType.no_failure,FailureType.no_failure,0.2928,FailureType.no_failure,0.5639,0.0,-0.17880000000000001,FailureType.no_failure,0.0461,FailureType.no_failure,0.5145,0.0000,0.2928,0.0000,0.5639,0.0000,NO
Distance,2.75,-5.0,0.2518,0.0234,-0.0943,-0.162,0.0091,FailureType.no_failure,FailureType.no_failure,0.2906,FailureType.no_failure,0.5638,0.0,-0.1386,FailureType.no_failure,0.0410,FailureType.no_failure,0.5139,0.0000,0.2906,0.0000,0.5638,0.0000,NO
Distance,2.75,-5.0,0.2587,0.0252,-0.1053,-0.1228,0.0085,FailureType.no_failure,FailureType.no_failure,0.3009,FailureType.no_failure,0.2129,0.0,-0.0976,FailureType.no_failure,0.0388,FailureType.no_failure,0.5143,0.0000,0.3009,0.0000,0.5143,0.0000,NO
Distance,2.75,-5.0,0.2577,0.0208,-0.1163,-0.0825,0.008,FailureType.no_failure,FailureType.no_failure,0.2509,FailureType.no_failure,0.2119,0.0,-0.061700000000000005,FailureType.no_failure,0.0393,FailureType.no_failure,0.5136,0.0000,0.2509,0.0000,0.5136,0.0000,NO
Distance,2.75,-5.0,0.275,-0.0092,-0.1273,-0.0411,0.0074,FailureType.no_failure,FailureType.no_failure,-0.1173,FailureType.no_failure,0.2111,0.0,-0.0503,FailureType.no_failure,0.0421,FailureType.no_failure,0.5118,0.0000,0.0421,-0.1173,0.5118,0.0000,NO
Distance,2.75,-5.0,0.2651,-0.0597,-0.1384,0.0014,0.0064,FailureType.no_failure,FailureType.no_failure,-0.5922,FailureType.no_failure,0.5612,0.0,-0.058300000000000005,FailureType.no_failure,0.0444,FailureType.no_failure,0.5093,0.0000,0.0444,-0.5922,0.5612,0.0000,NO
Distance,2.75,-5.0,0.2376,-0.1141,-0.1434,0.0219,0.0055,FailureType.no_failure,FailureType.no_failure,-0.8803,FailureType.no_failure,0.5614,0.0,-0.09219999999999999,FailureType.no_failure,0.0479,FailureType.no_failure,0.5070,0.0000,0.0479,-0.8803,0.5614,0.0000,NO
Distance,2.75,-5.0,-0.1319,-0.1327,-0.124,-0.0459,0.0059,FailureType.no_failure,FailureType.no_failure,-0.8298,FailureType.no_failure,0.5614,0.0,-0.1786,FailureType.no_failure,0.0306,FailureType.no_failure,0.5049,0.0000,0.0306,-0.8298,0.5614,0.0000,NO
Distance,2.75,-5.0,-0.598,-0.1162,-0.0847,-0.1862,0.0075,FailureType.no_failure,FailureType.no_failure,-0.5222,FailureType.no_failure,0.5615,0.0,-0.3024,FailureType.no_failure,0.0346,FailureType.no_failure,0.5037,0.0000,0.0346,-0.5222,0.5615,0.0000,NO
Distance,2.75,-5.0,-0.9085,-0.0753,-0.0323,-0.3748,0.0101,FailureType.no_failure,FailureType.no_failure,-0.2691,FailureType.no_failure,0.5615,0.0,-0.45010000000000006,FailureType.no_failure,0.0171,FailureType.no_failure,0.5035,0.0000,0.0171,-0.2691,0.5615,0.0000,NO
Distance,2.75,-5.0,-1.1072,-0.0208,0.0258,-0.5845,0.0134,FailureType.no_failure,FailureType.no_failure,-0.0889,FailureType.no_failure,0.5616,0.0,-0.6053000000000001,FailureType.no_failure,0.0167,FailureType.no_failure,0.5042,0.0000,0.0167,-0.0889,0.5616,0.0000,NO
Distance,2.75,-5.0,-0.9814,0.0247,0.0695,-0.7433,0.0162,FailureType.no_failure,FailureType.no_failure,0.0333,FailureType.no_failure,0.5615,0.0,-0.7185999999999999,FailureType.no_failure,-0.0046,FailureType.no_failure,0.5055,0.0000,0.0333,-0.0046,0.5615,0.0000,NO
