Controller,CMACC,CMDEC,Ego speed,Ego acc,Ego dist,SpeedDifF,SpeedDifL,OverLimit,DesDist,DistError,Front speed,FSF,Front acc,FAF,Front throttle,Front brake,Leader speed,LSF,Leader acc,LAF,Leader throttle,Leader brake,Max acc,max dec,max throttle,max brake,Speed limit,Technique
Distance,2.75,-5,16.6129,0.5866,8.4955,-0.0859,-0.0859,0.0000,8.3065,-0.1890,16.5271,FailureType.no_failure,0.0366,FailureType.no_failure,0.5151,0.0000,16.5271,FailureType.no_failure,0.0366,FailureType.no_failure,0.5151,0.0000,0.0366,0.0000,0.5151,0.0000,60.0,NO
Distance,2.75,-5,16.6402,0.5874,8.4903,-0.1131,-0.1131,0.0000,8.3201,-0.1702,16.5271,FailureType.no_failure,0.0481,FailureType.no_failure,0.5151,0.0000,16.5271,FailureType.no_failure,0.0481,FailureType.no_failure,0.5151,0.0000,0.0481,0.0000,0.5151,0.0000,60.0,NO
Distance,2.75,-5,16.6674,0.5790,8.4838,-0.1407,-0.1407,0.0026,8.3337,-0.1501,16.5267,FailureType.no_failure,0.0298,FailureType.no_failure,0.5164,0.0000,16.5267,FailureType.no_failure,0.0298,FailureType.no_failure,0.5164,0.0000,0.0298,0.0000,0.5164,0.0000,60.0,NO
Distance,2.75,-5,16.6945,0.5930,8.4760,-0.1679,-0.1679,0.1002,8.3472,-0.1287,16.5266,FailureType.no_failure,0.0367,FailureType.no_failure,0.5169,0.0000,16.5266,FailureType.no_failure,0.0367,FailureType.no_failure,0.5169,0.0000,0.0367,0.0000,0.5169,0.0000,60.0,NO
Distance,2.75,-5,16.7210,0.5704,8.4669,-0.1944,-0.1944,0.1957,8.3605,-0.1063,16.5266,FailureType.no_failure,0.0316,FailureType.no_failure,0.5168,0.0000,16.5266,FailureType.no_failure,0.0316,FailureType.no_failure,0.5168,0.0000,0.0316,0.0000,0.5168,0.0000,60.0,NO
Distance,2.75,-5,16.7475,0.5679,8.4564,-0.2207,-0.2207,0.2912,8.3738,-0.0826,16.5268,FailureType.no_failure,0.0451,FailureType.no_failure,0.5159,0.0000,16.5268,FailureType.no_failure,0.0451,FailureType.no_failure,0.5159,0.0000,0.0451,0.0000,0.5159,0.0000,60.0,NO
Distance,2.75,-5,16.7740,0.5866,8.4445,-0.2473,-0.2473,0.3864,8.3870,-0.0575,16.5267,FailureType.no_failure,0.0374,FailureType.no_failure,0.5163,0.0000,16.5267,FailureType.no_failure,0.0374,FailureType.no_failure,0.5163,0.0000,0.0374,0.0000,0.5163,0.0000,60.0,NO
Distance,2.75,-5,16.8003,0.5649,8.4314,-0.2735,-0.2735,0.4812,8.4002,-0.0312,16.5268,FailureType.no_failure,0.0424,FailureType.no_failure,0.5160,0.0000,16.5268,FailureType.no_failure,0.0424,FailureType.no_failure,0.5160,0.0000,0.0424,0.0000,0.5160,0.0000,60.0,NO
Distance,2.75,-5,16.8201,0.5148,8.4171,-0.2931,-0.2931,0.5525,8.4101,-0.0071,16.5270,FailureType.no_failure,0.0358,FailureType.no_failure,0.5154,0.0000,16.5270,FailureType.no_failure,0.0358,FailureType.no_failure,0.5154,0.0000,0.0358,0.0000,0.5154,0.0000,60.0,NO
Distance,2.75,-5,16.8044,0.0514,8.4028,-0.2772,-0.2772,0.4959,8.4022,-0.0006,16.5272,FailureType.no_failure,0.0441,FailureType.no_failure,0.5145,0.0000,16.5272,FailureType.no_failure,0.0441,FailureType.no_failure,0.5145,0.0000,0.0441,0.0000,0.5145,0.0000,60.0,NO
Distance,2.75,-5,16.7510,-0.7551,8.3905,-0.2236,-0.2236,0.3037,8.3755,-0.0149,16.5274,FailureType.no_failure,0.0472,FailureType.no_failure,0.5138,0.0000,16.5274,FailureType.no_failure,0.0472,FailureType.no_failure,0.5138,0.0000,0.0472,0.0000,0.5138,0.0000,60.0,NO
Distance,2.75,-5,16.6727,-1.3432,8.3815,-0.1456,-0.1456,0.0217,8.3363,-0.0452,16.5271,FailureType.no_failure,0.0283,FailureType.no_failure,0.5149,0.0000,16.5271,FailureType.no_failure,0.0283,FailureType.no_failure,0.5149,0.0000,0.0283,0.0000,0.5149,0.0000,60.0,NO
Distance,2.75,-5,16.5810,-1.7130,8.3770,-0.0541,-0.0541,0.0000,8.2905,-0.0865,16.5269,FailureType.no_failure,0.0443,FailureType.no_failure,0.5157,0.0000,16.5269,FailureType.no_failure,0.0443,FailureType.no_failure,0.5157,0.0000,0.0443,0.0000,0.5157,0.0000,60.0,NO
Distance,2.75,-5,16.4995,-1.7101,8.3769,0.0273,0.0273,0.0000,8.2498,-0.1271,16.5268,FailureType.no_failure,0.0341,FailureType.no_failure,0.5161,0.0000,16.5268,FailureType.no_failure,0.0341,FailureType.no_failure,0.5161,0.0000,0.0341,0.0000,0.5161,0.0000,60.0,NO
Distance,2.75,-5,16.4459,-1.2642,8.3800,0.0809,0.0809,0.0000,8.2230,-0.1570,16.5268,FailureType.no_failure,0.0385,FailureType.no_failure,0.5160,0.0000,16.5268,FailureType.no_failure,0.0385,FailureType.no_failure,0.5160,0.0000,0.0385,0.0000,0.5160,0.0000,60.0,NO
Distance,2.75,-5,16.4169,-0.7190,8.3850,0.1096,0.1096,0.0000,8.2085,-0.1765,16.5265,FailureType.no_failure,0.0253,FailureType.no_failure,0.5170,0.0000,16.5265,FailureType.no_failure,0.0253,FailureType.no_failure,0.5170,0.0000,0.0253,0.0000,0.5170,0.0000,60.0,NO
Distance,2.75,-5,16.4053,-0.3127,8.3909,0.1213,0.1213,0.0000,8.2026,-0.1883,16.5265,FailureType.no_failure,0.0512,FailureType.no_failure,0.5171,0.0000,16.5265,FailureType.no_failure,0.0512,FailureType.no_failure,0.5171,0.0000,0.0512,0.0000,0.5171,0.0000,60.0,NO
