Controller,CMACC,CMDEC,Ego acc,SpeedDifF,SpeedDifL,OverLimit,DistError,EDF,FSF,Front acc,FAF,Front throttle,Front brake,FrOvLi,LSF,Leader acc,LAF,Leader throttle,Leader brake,Max acc,max dec,max throttle,max brake,Technique
Distance,2.75,-5,0.2541,-1.3285,-1.3136,4.235,0.4054,FailureType.no_failure,FailureType.no_failure,0.3176,FailureType.no_failure,0.5649,0.0,-0.5475267673379847,FailureType.no_failure,0.0007,FailureType.no_failure,0.5065,0.0,0.3176,0.0000,0.5649,0.0000,SA
Distance,2.75,-5,0.2465,-1.3245,-1.3256,4.2782,0.397,FailureType.no_failure,FailureType.no_failure,0.3228,FailureType.no_failure,0.5649,0.0,-0.48992764244945874,FailureType.no_failure,0.0008,FailureType.no_failure,0.5065,0.0,0.3228,0.0000,0.5649,0.0000,SA
Distance,2.75,-5,0.2278,-1.3195,-1.3366,4.3177,0.3888,FailureType.no_failure,FailureType.no_failure,0.319,FailureType.no_failure,0.5648,0.0,-0.43235615942514016,FailureType.no_failure,0.0007,FailureType.no_failure,0.5065,0.0,0.3190,0.0000,0.5648,0.0000,SA
Distance,2.75,-5,0.2128,-1.3139,-1.347,4.3552,0.3806,FailureType.no_failure,FailureType.no_failure,0.3191,FailureType.no_failure,0.5648,0.0,-0.3749221727479366,FailureType.no_failure,0.0012,FailureType.no_failure,0.5065,0.0,0.3191,0.0000,0.5648,0.0000,SA
Distance,2.75,-5,0.2065,-1.3081,-1.3572,4.3916,0.3725,FailureType.no_failure,FailureType.no_failure,0.324,FailureType.no_failure,0.5647,0.0,-0.3176800507917932,FailureType.no_failure,0.0005,FailureType.no_failure,0.5065,0.0,0.3240,0.0000,0.5647,0.0000,SA
Distance,2.75,-5,0.2052,-1.3023,-1.3672,4.4277,0.3644,FailureType.no_failure,FailureType.no_failure,0.3179,FailureType.no_failure,0.5646,0.0,-0.2606916796177572,FailureType.no_failure,0.0002,FailureType.no_failure,0.5065,0.0,0.3179,0.0000,0.5646,0.0000,SA
Distance,2.75,-5,0.2002,-1.2967,-1.3773,4.464,0.3564,FailureType.no_failure,FailureType.no_failure,0.314,FailureType.no_failure,0.5646,0.0,-0.2039918903812321,FailureType.no_failure,0.0012,FailureType.no_failure,0.5065,0.0,0.3140,0.0000,0.5646,0.0000,SA
Distance,2.75,-5,0.2064,-1.2912,-1.3875,4.5008,0.3484,FailureType.no_failure,FailureType.no_failure,0.3179,FailureType.no_failure,0.5645,0.0,-0.14760038266754094,FailureType.no_failure,0.0007,FailureType.no_failure,0.5065,0.0,0.3179,0.0000,0.5645,0.0000,SA
Distance,2.75,-5,0.2077,-1.2861,-1.3979,4.5383,0.3405,FailureType.no_failure,FailureType.no_failure,0.3129,FailureType.no_failure,0.5644,0.0,-0.09153780697969438,FailureType.no_failure,0.0007,FailureType.no_failure,0.5065,0.0,0.3129,0.0000,0.5644,0.0000,SA
Distance,2.75,-5,0.2114,-1.2812,-1.4085,4.5765,0.3325,FailureType.no_failure,FailureType.no_failure,0.312,FailureType.no_failure,0.5643,0.0,-0.035825344467596665,FailureType.no_failure,0.0014,FailureType.no_failure,0.5065,0.0,0.3120,0.0000,0.5643,0.0000,SA
Distance,2.75,-5,0.2177,-1.2767,-1.4194,4.6156,0.3246,FailureType.no_failure,FailureType.no_failure,0.3116,FailureType.no_failure,0.5642,0.0,0.019542945856244387,FailureType.no_failure,-0.0009,FailureType.no_failure,0.5065,0.0,0.3116,-0.0009,0.5642,0.0000,SA
Distance,2.75,-5,0.2202,-1.2724,-1.4304,4.6553,0.3167,FailureType.no_failure,FailureType.no_failure,0.3066,FailureType.no_failure,0.5642,0.0,0.07456027562472656,FailureType.no_failure,0.0005,FailureType.no_failure,0.5065,0.0,0.3066,0.0000,0.5642,0.0000,SA
Distance,2.75,-5,0.2239,-1.2684,-1.4415,4.6954,0.3088,FailureType.no_failure,FailureType.no_failure,0.3061,FailureType.no_failure,0.5641,0.0,0.12920660089813651,FailureType.no_failure,0.001,FailureType.no_failure,0.5065,0.0,0.3061,0.0000,0.5641,0.0000,SA
Distance,2.75,-5,0.2229,-1.2644,-1.4527,4.7354,0.3009,FailureType.no_failure,FailureType.no_failure,0.3041,FailureType.no_failure,0.564,0.0,0.1834888653985729,FailureType.no_failure,0.0006,FailureType.no_failure,0.5065,0.0,0.3041,0.0000,0.5640,0.0000,SA
Distance,2.75,-5,0.2242,-1.2605,-1.4638,4.7754,0.2931,FailureType.no_failure,FailureType.no_failure,0.3016,FailureType.no_failure,0.5639,0.0,0.23741411243896238,FailureType.no_failure,0.0004,FailureType.no_failure,0.5066,0.0,0.3016,0.0000,0.5639,0.0000,SA
Distance,2.75,-5,0.2227,-1.2567,-1.4748,4.815,0.2854,FailureType.no_failure,FailureType.no_failure,0.301,FailureType.no_failure,0.5638,0.0,0.2909615724000929,FailureType.no_failure,0.0008,FailureType.no_failure,0.5066,0.0,0.3010,0.0000,0.5638,0.0000,SA
Distance,2.75,-5,0.2202,-1.2528,-1.4857,4.8542,0.2776,FailureType.no_failure,FailureType.no_failure,0.2967,FailureType.no_failure,0.0123,0.0,0.34414553664130665,FailureType.no_failure,0.0009,FailureType.no_failure,0.5067,0.0,0.2967,0.0000,0.5067,0.0000,SA
Distance,2.75,-5,0.2178,-1.2551,-1.4965,4.893,0.2699,FailureType.no_failure,FailureType.no_failure,0.2528,FailureType.no_failure,0.0109,0.0,0.37477176216025754,FailureType.no_failure,0.0006,FailureType.no_failure,0.5067,0.0,0.2528,0.0000,0.5067,0.0000,SA
