Controller,CMACC,CMDEC,Ego speed,Ego acc,Ego dist,SpeedDifF,SpeedDifL,OverLimit,DesDist,DistError,Front speed,FSF,Front acc,FAF,Front throttle,Front brake,Leader speed,LSF,Leader acc,LAF,Leader throttle,Leader brake,Max acc,max dec,max throttle,max brake,Speed limit,Technique
Distance,2.75,-5,16.6642,0.5964,8.4689,-0.1348,-0.1348,0.0000,8.3321,-0.1368,16.5294,FailureType.no_failure,0.0033,FailureType.no_failure,0.0000,0.1022,16.5294,FailureType.no_failure,0.0033,FailureType.no_failure,0.0000,0.1022,0.0033,0.0000,0.0000,0.1022,60.0,NO
Distance,2.75,-5,16.6938,0.5937,8.4612,-0.1974,-0.1974,0.0977,8.3469,-0.1143,16.4964,FailureType.no_failure,-0.2844,FailureType.no_failure,0.0000,0.1543,16.4964,FailureType.no_failure,-0.2844,FailureType.no_failure,0.0000,0.1543,0.0000,-0.2844,0.0000,0.1543,60.0,NO
Distance,2.75,-5,16.7171,0.5460,8.4516,-0.3196,-0.3196,0.1816,8.3586,-0.0930,16.3975,FailureType.no_failure,-1.4728,FailureType.no_failure,0.0000,0.1896,16.3975,FailureType.no_failure,-1.4728,FailureType.no_failure,0.0000,0.1896,0.0000,-1.4728,0.0000,0.1896,60.0,NO
Distance,2.75,-5,16.7042,0.0746,8.4380,-0.4554,-0.4554,0.1350,8.3521,-0.0860,16.2487,FailureType.no_failure,-2.6218,FailureType.no_failure,0.0000,0.1985,16.2487,FailureType.no_failure,-2.6218,FailureType.no_failure,0.0000,0.1985,0.0000,-2.6218,0.0000,0.1985,60.0,NO
Distance,2.75,-5,16.6531,-0.7474,8.4199,-0.5832,-0.5832,0.0000,8.3266,-0.0933,16.0699,FailureType.no_failure,-3.3762,FailureType.no_failure,0.0000,0.1485,16.0699,FailureType.no_failure,-3.3762,FailureType.no_failure,0.0000,0.1485,0.0000,-3.3762,0.0000,0.1485,60.0,NO
Distance,2.75,-5,16.5769,-1.3434,8.3967,-0.6882,-0.6882,0.0000,8.2884,-0.1083,15.8887,FailureType.no_failure,-3.6625,FailureType.no_failure,0.0000,0.1317,15.8887,FailureType.no_failure,-3.6625,FailureType.no_failure,0.0000,0.1317,0.0000,-3.6625,0.0000,0.1317,60.0,NO
Distance,2.75,-5,16.4841,-1.7395,8.3687,-0.7740,-0.7740,0.0000,8.2420,-0.1266,15.7101,FailureType.no_failure,-3.5813,FailureType.no_failure,0.0000,0.1989,15.7101,FailureType.no_failure,-3.5813,FailureType.no_failure,0.0000,0.1989,0.0000,-3.5813,0.0000,0.1989,60.0,NO
Distance,2.75,-5,16.3804,-1.9932,8.3367,-0.8700,-0.8700,0.0000,8.1902,-0.1465,15.5104,FailureType.no_failure,-3.7698,FailureType.no_failure,0.0000,0.1084,15.5104,FailureType.no_failure,-3.7698,FailureType.no_failure,0.0000,0.1084,0.0000,-3.7698,0.0000,0.1084,60.0,NO
Distance,2.75,-5,16.2692,-2.1676,8.3007,-0.9451,-0.9451,0.0000,8.1346,-0.1661,15.3241,FailureType.no_failure,-3.9557,FailureType.no_failure,0.0000,0.1712,15.3241,FailureType.no_failure,-3.9557,FailureType.no_failure,0.0000,0.1712,0.0000,-3.9557,0.0000,0.1712,60.0,NO
Distance,2.75,-5,16.1529,-2.2925,8.2606,-1.0226,-1.0226,0.0000,8.0765,-0.1841,15.1304,FailureType.no_failure,-3.7062,FailureType.no_failure,0.0000,0.1654,15.1304,FailureType.no_failure,-3.7062,FailureType.no_failure,0.0000,0.1654,0.0000,-3.7062,0.0000,0.1654,60.0,NO
